player,position,team,age,club,birth_year
Aaron Mooy,MF,Australia,32,Celtic,1990
Aaron Ramsey,MF,Wales,31,Nice,1990
Abdelhamid Sabiri,MF,Morocco,26,Sampdoria,1996
Abdelkarim Hassan,DF,Qatar,29,Al Sadd SC,1993
Abderrazak Hamdallah,FW,Morocco,32,Al-Ittihad,1990
Abdessamad Ezzalzouli,FW,Morocco,21,Osasuna,2001
Abdou Diallo,DF,Senegal,26,RB Leipzig,1996
Abdul Fatawu Issahaku,FW,Ghana,18,Sporting CP,2004
Abdulaziz Hatem,MF,Qatar,32,Al Rayyan SC,1990
Abdulelah Al-Amri,DF,Saudi Arabia,25,Al-Nassr,1997
Abdulellah Al-Malki,MF,Saudi Arabia,28,Al-Hilal,1994
Abdullah Madu,DF,Saudi Arabia,29,Al-Nassr,1993
Abdulrahman Al-Aboud,MF,Saudi Arabia,27,Al-Ittihad,1995
Abolfazl Jalali,DF,IR Iran,24,Esteghlal,1998
Achraf Dari,DF,Morocco,23,Brest,1999
Achraf Hakimi,DF,Morocco,24,Paris S-G,1998
Adrien Rabiot,MF,France,27,Juventus,1995
Agustín Canobbio,MF,Uruguay,24,Atl Paranaense,1998
Ahmad Nourollahi,MF,IR Iran,29,Al-Ahli Dubai FC,1993
Ahmed Alaaeldin,FW,Qatar,29,Al-Gharafa Sports Club,1993
Aimen Dahmen,GK,Tunisia,25,CS Sfaxien,1997
Ajdin Hrustic,MF,Australia,26,Hellas Verona,1996
Akram Afif,FW,Qatar,26,Al Sadd SC,1996
Alan Franco,MF,Ecuador,24,Talleres,1998
Alejandro Balde,DF,Spain,19,Barcelona,2003
Aleksandar Mitrović,FW,Serbia,28,Fulham,1994
Alex Sandro,DF,Brazil,31,Juventus,1991
Alex Telles,DF,Brazil,30,Sevilla,1992
Alexander Bah,DF,Denmark,25,Benfica,1997
Alexander Djiku,DF,Ghana,28,Strasbourg,1994
Alexis Mac Allister,MF,Argentina,23,Brighton,1998
Alexis Vega,FW,Mexico,25,Guadalajara,1997
Ali Abdi,DF,Tunisia,28,Caen,1993
Ali Al Hassan,MF,Saudi Arabia,25,Al-Nassr,1997
Ali Al-Bulaihi,DF,Saudi Arabia,33,Al-Hilal,1989
Ali Assadalla,MF,Qatar,29,Al Sadd SC,1993
Ali Gholizadeh,MF,IR Iran,26,Charleroi,1996
Ali Karimi,MF,IR Iran,28,Kayserispor,1994
Ali Maâloul,DF,Tunisia,32,Al Ahly SC,1990
Alidu Seidu,DF,Ghana,22,Clermont Foot,2000
