player,position,team,age,birth_year,games,games_starts,games_complete,games_subs,unused_subs,minutes,minutes_per_game,minutes_pct,minutes_90s,minutes_per_start,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,plus_minus_wowy,xg_plus_minus_wowy,minutes_per_sub
Aaron Long,DF,United States,30,1992,0,0,0,0,4,,,,,,,,,,,,,,,,,
Aaron Mooy,MF,Australia,32,1990,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.5,4.0,6.0,-2.0,-0.5,2.3,7.2,-4.9,-1.23,,,
Aaron Ramsdale,GK,England,24,1998,0,0,0,0,5,,,,,,,,,,,,,,,,,
Aaron Ramsey,MF,Wales,31,1990,3,3,2,0,0,266.0,89.0,98.5,3.0,89.0,0.33,1.0,4.0,-3.0,-1.02,2.6,4.1,-1.5,-0.49,43.98,9.06,
Abdelhamid Sabiri,MF,Morocco,26,1996,5,2,0,3,2,181.0,36.0,27.4,2.0,55.0,1.6,5.0,3.0,2.0,0.99,3.1,1.6,1.5,0.9,1.18,1.3,24.0
Abdelkarim Hassan,DF,Qatar,29,1993,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.0,1.0,7.0,-6.0,-2.0,1.4,3.5,-2.1,-0.71,,,
Abderrazak Hamdallah,FW,Morocco,32,1990,4,0,0,4,3,68.0,17.0,10.3,0.8,,1.75,2.0,1.0,1.0,1.32,1.9,1.0,0.9,1.16,1.32,1.42,17.0
Abdessamad Ezzalzouli,FW,Morocco,21,2001,3,0,0,3,4,93.0,31.0,14.1,1.0,,0.67,0.0,1.0,-1.0,-0.97,1.1,1.4,-0.3,-0.48,-1.29,-0.41,31.0
Abdou Diallo,DF,Senegal,26,1996,4,4,3,0,0,331.0,83.0,91.9,3.7,83.0,1.5,5.0,5.0,0.0,0.0,4.0,3.2,0.8,0.21,6.21,-0.59,
Abdul Fatawu Issahaku,FW,Ghana,18,2004,1,0,0,1,2,1.0,1.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.29,0.67,-2.82,1.0
Abdulaziz Hatem,MF,Qatar,32,1990,3,2,1,1,0,196.0,65.0,72.6,2.2,87.0,0.0,1.0,5.0,-4.0,-1.84,0.7,3.0,-2.4,-1.08,0.6,-1.36,22.0
Abdulelah Al-Amri,DF,Saudi Arabia,25,1997,3,2,2,1,0,182.0,61.0,67.4,2.0,90.0,1.0,1.0,4.0,-3.0,-1.48,2.8,3.9,-1.1,-0.53,-2.51,1.49,2.0
Abdulellah Al-Malki,MF,Saudi Arabia,28,1994,2,2,1,0,0,174.0,87.0,64.4,1.9,87.0,1.5,2.0,3.0,-1.0,-0.52,1.8,3.5,-1.7,-0.9,0.42,0.31,
Abdullah Madu,DF,Saudi Arabia,29,1993,1,0,0,1,2,45.0,45.0,16.7,0.5,,0.0,1.0,2.0,-1.0,-2.0,0.9,1.3,-0.4,-0.79,-1.6,0.27,45.0
Abdullah Otayf,MF,Saudi Arabia,30,1992,0,0,0,0,3,,,,,,,,,,,,,,,,,
Abdulrahman Al-Aboud,MF,Saudi Arabia,27,1995,2,0,0,2,1,35.0,18.0,13.0,0.4,,0.0,1.0,0.0,1.0,2.57,0.8,0.9,-0.1,-0.18,3.72,0.95,18.0
Abolfazl Jalali,DF,IR Iran,24,1998,1,0,0,1,2,19.0,19.0,7.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.43,1.08,0.81,19.0
Achraf Dari,DF,Morocco,23,1999,3,2,1,1,4,187.0,62.0,28.3,2.1,77.0,1.0,1.0,4.0,-3.0,-1.44,2.3,3.1,-0.8,-0.37,-2.2,-0.37,34.0
Achraf Hakimi,DF,Morocco,24,1998,7,7,5,0,0,631.0,90.0,95.6,7.0,90.0,1.57,4.0,5.0,-1.0,-0.14,5.3,7.4,-2.1,-0.31,-6.35,-2.21,
Adam Davies,GK,Wales,30,1992,0,0,0,0,3,,,,,,,,,,,,,,,,,
Adrien Rabiot,MF,France,27,1995,6,5,4,1,0,483.0,81.0,73.2,5.4,91.0,2.17,13.0,6.0,7.0,1.3,10.4,7.2,3.2,0.59,0.8,0.32,28.0
Agustín Canobbio,MF,Uruguay,24,1998,1,0,0,1,2,11.0,11.0,4.1,0.1,,3.0,0.0,0.0,0.0,0.0,0.2,0.6,-0.4,-3.14,0.0,-3.32,11.0
Ahmad Nourollahi,MF,IR Iran,29,1993,3,3,0,0,0,223.0,74.0,82.6,2.5,74.0,1.0,1.0,6.0,-5.0,-2.02,1.6,3.1,-1.5,-0.6,-5.85,-1.61,
Ahmed Alaaeldin,FW,Qatar,29,1993,1,0,0,1,2,6.0,6.0,2.2,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,2.05,0.65,6.0
Ahmed Reda Tagnaouti,GK,Morocco,26,1996,0,0,0,0,7,,,,,,,,,,,,,,,,,
Aimen Dahmen,GK,Tunisia,25,1997,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,1.0,1.0,0.0,0.0,2.3,2.8,-0.5,-0.17,,,
Ajdin Hrustic,MF,Australia,26,1996,3,0,0,3,1,62.0,21.0,17.2,0.7,,2.0,1.0,0.0,1.0,1.45,0.6,1.6,-1.0,-1.44,2.36,-0.25,21.0
Akram Afif,FW,Qatar,26,1996,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.0,1.0,7.0,-6.0,-2.0,1.4,3.5,-2.1,-0.71,,,
Alan Franco,MF,Ecuador,24,1998,2,1,0,1,1,46.0,23.0,17.0,0.5,45.0,1.5,0.0,1.0,-1.0,-1.96,0.1,1.6,-1.4,-2.79,-2.76,-3.83,1.0
Alejandro Balde,DF,Spain,19,2003,4,1,0,3,0,126.0,32.0,32.3,1.4,67.0,1.25,4.0,3.0,1.0,0.71,1.9,1.7,0.2,0.19,-0.99,-0.6,20.0
Aleksandar Mitrovič,FW,Serbia,28,1994,3,3,2,0,0,262.0,87.0,97.0,2.9,87.0,0.33,5.0,8.0,-3.0,-1.03,3.3,7.3,-3.9,-1.35,-1.03,-1.13,
Alex Sandro,DF,Brazil,31,1991,3,2,1,1,0,190.0,63.0,39.6,2.1,88.0,2.33,3.0,1.0,2.0,0.95,3.4,0.6,2.7,1.41,0.02,-0.7,15.0
Alex Telles,DF,Brazil,30,1992,2,1,0,1,1,59.0,30.0,12.3,0.7,54.0,1.5,0.0,0.0,0.0,0.0,1.4,0.2,1.2,1.79,-1.07,-0.08,5.0
Alexander Bah,DF,Denmark,25,1997,2,0,0,2,1,46.0,23.0,17.0,0.5,,0.0,0.0,1.0,-1.0,-1.96,0.4,0.4,-0.1,-0.16,-1.55,0.28,23.0
Alexander Djiku,DF,Ghana,28,1994,2,1,0,1,1,97.0,49.0,35.9,1.1,89.0,1.5,2.0,3.0,-1.0,-0.93,0.9,2.4,-1.4,-1.33,-0.41,-1.33,8.0
Alexander Domínguez,GK,Ecuador,35,1987,0,0,0,0,3,,,,,,,,,,,,,,,,,
Alexis Mac Allister,MF,Argentina,23,1998,6,6,1,0,1,550.0,92.0,79.7,6.1,92.0,2.33,13.0,5.0,8.0,1.31,11.3,2.8,8.5,1.47,1.95,0.36,
Alexis Vega,FW,Mexico,25,1997,3,3,0,0,0,193.0,64.0,71.5,2.1,64.0,1.33,0.0,1.0,-1.0,-0.47,1.9,1.3,0.7,0.31,-0.47,0.02,
Alfred Gomis,GK,Senegal,29,1993,0,0,0,0,4,,,,,,,,,,,,,,,,,
Alfredo Talavera,GK,Mexico,40,1982,0,0,0,0,3,,,,,,,,,,,,,,,,,
Ali Abdi,DF,Tunisia,28,1993,3,2,2,1,0,188.0,63.0,69.6,2.1,90.0,1.33,0.0,1.0,-1.0,-0.48,1.8,2.3,-0.4,-0.21,-1.58,-0.14,8.0
Ali Al Hassan,MF,Saudi Arabia,25,1997,1,1,0,0,2,45.0,45.0,16.7,0.5,45.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,-0.8,-1.56,0.8,-0.66,
Ali Al-Bulaihi,DF,Saudi Arabia,33,1989,3,3,2,0,0,216.0,72.0,80.0,2.4,72.0,1.0,2.0,3.0,-1.0,-0.42,2.0,4.5,-2.6,-1.06,1.25,-0.27,
Ali Assadalla,MF,Qatar,29,1993,1,0,0,1,2,27.0,27.0,10.0,0.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,2.22,0.86,27.0
Ali Gholizadeh,MF,IR Iran,26,1996,3,2,0,1,0,199.0,66.0,73.7,2.2,77.0,1.0,2.0,4.0,-2.0,-0.9,2.3,3.0,-0.6,-0.29,0.36,0.11,45.0
Ali Karimi,MF,IR Iran,28,1994,3,1,0,2,0,99.0,33.0,36.7,1.1,45.0,1.0,2.0,3.0,-1.0,-0.91,1.1,1.4,-0.3,-0.28,0.14,0.06,27.0
Ali Maâloul,DF,Tunisia,32,1990,1,1,1,0,2,90.0,90.0,33.3,1.0,90.0,3.0,1.0,0.0,1.0,1.0,0.5,0.8,-0.3,-0.3,1.5,-0.2,
Alidu Seidu,DF,Ghana,22,2000,2,2,1,0,1,155.0,78.0,57.4,1.7,78.0,0.0,0.0,3.0,-3.0,-1.74,1.6,3.3,-1.6,-0.95,-2.52,-1.12,
Alireza Beiranvand,GK,IR Iran,30,1992,2,2,1,0,0,109.0,55.0,40.4,1.2,55.0,0.0,0.0,1.0,-1.0,-0.83,0.4,1.3,-0.9,-0.71,0.29,-0.66,
Alireza Jahanbakhsh,MF,IR Iran,29,1993,2,1,0,1,0,59.0,30.0,21.9,0.7,45.0,1.5,2.0,3.0,-1.0,-1.53,0.6,1.1,-0.4,-0.62,-0.67,-0.39,14.0
Alisson,GK,Brazil,30,1992,4,4,3,0,1,379.0,95.0,79.0,4.2,95.0,2.5,8.0,2.0,6.0,1.42,9.2,1.5,7.7,1.99,2.32,0.48,
Alistair Johnston,DF,Canada,24,1998,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.0,2.0,7.0,-5.0,-1.67,4.2,3.9,0.3,0.11,,,
Almoez Ali,FW,Qatar,26,1996,3,3,1,0,0,224.0,75.0,83.0,2.5,75.0,0.0,1.0,7.0,-6.0,-2.41,1.3,3.5,-2.1,-0.86,-2.41,-0.88,
Alphonse Areola,GK,France,29,1993,0,0,0,0,7,,,,,,,,,,,,,,,,,
Alphonso Davies,MF,Canada,22,2000,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.0,2.0,7.0,-5.0,-1.67,4.2,3.9,0.3,0.11,,,
Amadou Onana,MF,Belgium,21,2001,2,1,0,1,0,104.0,52.0,38.5,1.2,59.0,1.5,0.0,0.0,0.0,0.0,1.2,0.7,0.4,0.36,0.54,0.49,45.0
Amir Abedzadeh,GK,IR Iran,29,1993,0,0,0,0,3,,,,,,,,,,,,,,,,,
Anass Zaroury,FW,Morocco,22,2000,1,0,0,1,6,27.0,27.0,4.1,0.3,,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.1,0.4,-0.14,0.53,27.0
Andre-Frank Zambo Anguissa,MF,Cameroon,27,1995,3,3,2,0,0,260.0,87.0,96.3,2.9,87.0,1.33,4.0,4.0,0.0,0.0,3.4,5.6,-2.3,-0.78,0.0,-0.04,
Andreas Christensen,DF,Denmark,26,1996,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.33,1.0,3.0,-2.0,-0.67,2.7,3.9,-1.2,-0.39,,,
Andreas Cornelius,FW,Denmark,29,1993,3,1,0,2,0,92.0,31.0,34.1,1.0,45.0,0.33,0.0,0.0,0.0,0.0,1.3,1.0,0.3,0.33,1.01,1.1,24.0
Andreas Skov Olsen,FW,Denmark,22,1999,2,2,0,0,1,132.0,66.0,48.9,1.5,66.0,0.5,0.0,1.0,-1.0,-0.68,0.8,1.4,-0.7,-0.45,-0.03,-0.11,
Andrej Kramarič,FW,Croatia,31,1991,7,7,0,0,0,474.0,68.0,68.7,5.3,68.0,1.43,6.0,6.0,0.0,0.0,4.7,7.5,-2.8,-0.54,-0.42,-0.03,
Andrew Redmayne,GK,Australia,33,1989,0,0,0,0,4,,,,,,,,,,,,,,,,,
Andries Noppert,GK,Netherlands,28,1994,5,5,5,0,0,480.0,96.0,100.0,5.3,96.0,2.2,10.0,4.0,6.0,1.13,4.6,6.1,-1.5,-0.29,,-0.29,
Andrija Živkovič,DF,Serbia,26,1996,3,3,0,0,0,210.0,70.0,77.8,2.3,70.0,0.33,5.0,6.0,-1.0,-0.43,3.0,5.6,-2.7,-1.14,2.57,0.79,
André Ayew,MF,Ghana,33,1989,3,3,0,0,0,198.0,66.0,73.3,2.2,66.0,1.0,4.0,5.0,-1.0,-0.45,2.9,4.2,-1.3,-0.58,0.8,-0.37,
André Onana,GK,Cameroon,26,1996,1,1,0,0,0,80.0,80.0,29.6,0.9,80.0,0.0,0.0,1.0,-1.0,-1.13,0.7,1.4,-0.7,-0.7,-1.6,0.12,
André Silva,FW,Portugal,27,1995,1,0,0,1,4,26.0,26.0,5.8,0.3,,0.0,0.0,1.0,-1.0,-3.46,0.1,0.9,-0.8,-2.79,-4.95,-3.23,26.0
Andrés Guardado,MF,Mexico,36,1986,1,1,0,0,2,41.0,41.0,15.2,0.5,41.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.23,0.39,-0.08,
Anis Ben Slimane,MF,Tunisia,21,2001,2,2,0,0,1,148.0,74.0,54.8,1.6,74.0,2.0,1.0,0.0,1.0,0.61,1.4,0.9,0.5,0.29,1.35,1.02,
Ansu Fati,FW,Spain,20,2002,2,0,0,2,2,46.0,23.0,11.8,0.5,,0.5,0.0,0.0,0.0,0.0,0.6,0.7,0.0,-0.01,-1.57,-0.68,23.0
Ante Budimir,FW,Croatia,31,1991,2,0,0,2,5,55.0,28.0,8.0,0.6,,1.0,1.0,0.0,1.0,1.64,0.7,0.4,0.3,0.57,1.64,1.17,28.0
Anthony Contreras,FW,Costa Rica,22,2000,3,2,0,1,0,125.0,42.0,46.3,1.4,62.0,1.0,0.0,4.0,-4.0,-2.88,0.0,3.7,-3.6,-2.61,-0.4,0.53,1.0
Anthony Hernández,FW,Costa Rica,21,2001,0,0,0,0,3,,,,,,,,,,,,,,,,,
Antoine Griezmann,MF,France,31,1991,7,6,4,1,0,537.0,77.0,81.4,6.0,87.0,2.29,13.0,6.0,7.0,1.17,11.5,8.0,3.5,0.59,0.44,0.44,18.0
Antoine Semenyo,FW,Ghana,22,2000,2,0,0,2,1,20.0,10.0,7.4,0.2,,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.4,1.75,0.72,2.41,10.0
Antonee Robinson,DF,United States,25,1997,4,4,3,0,0,359.0,90.0,99.7,4.0,90.0,1.25,3.0,4.0,-1.0,-0.25,4.0,4.4,-0.4,-0.09,-0.25,-6.84,
Antonio Rüdiger,DF,Germany,29,1993,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,6.0,5.0,1.0,0.33,10.1,3.4,6.7,2.22,,,
Antony,FW,Brazil,22,2000,4,1,0,3,1,172.0,43.0,35.8,1.9,78.0,1.75,2.0,1.0,1.0,0.52,4.0,0.6,3.4,2.14,-0.65,0.41,31.0
António Silva,DF,Portugal,19,2003,1,1,1,0,4,90.0,90.0,20.0,1.0,90.0,0.0,1.0,2.0,-1.0,-1.0,1.3,1.7,-0.4,-0.42,-2.75,-0.84,
Ao Tanaka,MF,Japan,24,1998,3,2,0,1,1,171.0,57.0,43.8,1.9,78.0,2.33,2.0,2.0,0.0,0.0,1.8,3.6,-1.8,-1.01,-0.41,-1.43,15.0
Ardon Jasari,FW,Switzerland,20,2002,1,0,0,1,3,2.0,2.0,0.6,0.0,,0.0,0.0,1.0,-1.0,-45.0,0.0,0.1,-0.1,-2.59,-44.25,-2.69,2.0
Arkadiusz Milik,FW,Poland,28,1994,3,1,0,2,1,101.0,34.0,28.1,1.1,70.0,1.33,2.0,2.0,0.0,0.0,1.8,1.9,-0.1,-0.06,0.69,0.86,16.0
Armel Bella Kotchap,DF,Germany,21,2001,0,0,0,0,3,,,,,,,,,,,,,,,,,
Arthur Theate,DF,Belgium,22,2000,0,0,0,0,3,,,,,,,,,,,,,,,,,
Artur JÄędrzejczyk,DF,Poland,35,1987,1,0,0,1,3,19.0,19.0,5.3,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-0.7,-3.31,0.53,-2.77,19.0
Asiri Haitham,FW,Saudi Arabia,21,2001,1,0,0,1,2,2.0,2.0,0.7,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-3.19,0.67,-2.19,2.0
Assim Madibo,MF,Qatar,26,1996,2,2,1,0,1,153.0,77.0,56.7,1.7,77.0,0.0,1.0,5.0,-4.0,-2.35,1.0,2.3,-1.3,-0.76,-0.81,-0.11,
Atiba Hutchinson,MF,Canada,39,1983,3,2,0,1,0,159.0,53.0,58.9,1.8,64.0,0.0,1.0,4.0,-3.0,-1.7,3.2,2.1,1.1,0.6,-0.08,1.21,31.0
Aurélien Tchouaméni,MF,France,22,2000,7,7,5,0,0,621.0,89.0,94.1,6.9,89.0,2.29,14.0,7.0,7.0,1.01,13.2,9.0,4.1,0.63,-1.29,1.14,
Awer Mabil,MF,Australia,27,1995,2,0,0,2,2,24.0,12.0,6.7,0.3,,1.5,0.0,0.0,0.0,0.0,0.0,0.6,-0.6,-2.35,0.54,-1.2,12.0
Axel Disasi,DF,France,24,1998,3,1,1,2,4,92.0,31.0,13.9,1.0,90.0,1.33,0.0,2.0,-2.0,-1.96,1.1,1.7,-0.6,-0.61,-3.54,-1.29,1.0
Axel Witsel,MF,Belgium,33,1989,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,1.0,2.0,-1.0,-0.33,4.7,4.6,0.2,0.05,,,
Ayase Ueda,FW,Japan,24,1998,1,1,0,0,3,45.0,45.0,11.5,0.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.26,0.15,
Aymen Mathlouthi,GK,Tunisia,38,1984,0,0,0,0,3,,,,,,,,,,,,,,,,,
Aymeric Laporte,DF,Spain,28,1994,3,3,3,0,1,300.0,100.0,76.9,3.3,100.0,1.67,8.0,1.0,7.0,2.1,5.1,2.0,3.1,1.05,3.1,1.36,
Ayrton Preciado,MF,Ecuador,28,1994,0,0,0,0,3,,,,,,,,,,,,,,,,,
Aziz Behich,DF,Australia,32,1990,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.5,4.0,6.0,-2.0,-0.5,2.3,7.2,-4.9,-1.23,,,
Azzedine Ounahi,MF,Morocco,22,2000,7,6,2,1,0,568.0,81.0,86.1,6.3,89.0,1.57,4.0,3.0,1.0,0.16,5.4,6.7,-1.4,-0.22,0.16,-0.78,35.0
Aïssa Laïdouni,MF,Tunisia,26,1996,3,3,1,0,0,243.0,81.0,90.0,2.7,81.0,1.33,1.0,1.0,0.0,0.0,1.8,2.6,-0.8,-0.28,0.0,-1.17,
Baba Rahman,DF,Ghana,28,1994,3,2,2,1,0,183.0,61.0,67.8,2.0,90.0,1.0,2.0,5.0,-3.0,-1.48,2.5,4.1,-1.6,-0.79,-2.51,-0.96,3.0
Badr Banoun,DF,Morocco,29,1993,3,0,0,3,4,54.0,18.0,8.2,0.6,,1.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.15,0.12,18.0
Bailey Wright,DF,Australia,30,1992,1,0,0,1,3,17.0,17.0,4.7,0.2,,3.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,-0.87,0.52,0.37,17.0
Bamba Dieng,FW,Senegal,22,2000,4,0,0,4,0,100.0,25.0,27.8,1.1,,1.5,1.0,4.0,-3.0,-2.7,1.2,1.1,0.0,0.04,-3.05,-0.3,25.0
Bartosz Bereszyński,DF,Poland,30,1992,4,4,3,0,0,341.0,85.0,94.7,3.8,85.0,1.0,3.0,5.0,-2.0,-0.53,4.5,6.6,-2.0,-0.54,-0.53,2.77,
Bassam Al-Rawi,DF,Qatar,25,1997,1,1,1,0,0,90.0,90.0,33.3,1.0,90.0,0.0,0.0,2.0,-2.0,-2.0,0.3,1.2,-0.9,-0.86,0.0,-0.23,
Bechir Ben Saïd,GK,Tunisia,30,1992,0,0,0,0,3,,,,,,,,,,,,,,,,,
Ben Cabango,DF,Wales,22,2000,0,0,0,0,3,,,,,,,,,,,,,,,,,
Ben Davies,DF,Wales,29,1993,3,3,2,0,0,238.0,79.0,88.1,2.6,79.0,0.33,1.0,5.0,-4.0,-1.51,2.5,3.4,-0.9,-0.34,1.3,2.41,
Ben White,DF,England,25,1997,0,0,0,0,2,,,,,,,,,,,,,,,,,
Benjamin Pavard,DF,France,26,1996,1,1,0,0,6,88.0,88.0,13.3,1.0,88.0,3.0,4.0,1.0,3.0,3.07,3.7,0.5,3.2,3.24,2.28,3.15,
Bernardo Silva,MF,Portugal,28,1994,5,4,2,1,0,356.0,71.0,79.1,4.0,87.0,1.8,10.0,4.0,6.0,1.52,6.4,5.0,1.4,0.36,1.52,0.54,9.0
Bilal El Khannous,MF,Morocco,18,2004,1,1,0,0,6,55.0,55.0,8.3,0.6,55.0,0.0,1.0,2.0,-1.0,-1.64,0.8,0.4,0.4,0.68,-1.93,0.86,
Bilel Ifa,DF,Tunisia,32,1990,0,0,0,0,3,,,,,,,,,,,,,,,,,
Borna Barišič,DF,Croatia,30,1992,1,1,1,0,6,120.0,120.0,17.4,1.3,120.0,1.0,1.0,1.0,0.0,0.0,1.4,1.2,0.2,0.24,-0.16,0.88,
Borna Sosa,DF,Croatia,24,1998,5,5,3,0,1,424.0,85.0,61.4,4.7,85.0,1.2,4.0,4.0,0.0,0.0,4.5,7.7,-3.2,-0.69,-0.34,-0.42,
Boualem Khoukhi,DF,Qatar,32,1990,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.0,1.0,7.0,-6.0,-2.0,1.4,3.5,-2.1,-0.71,,,
Boulaye Dia,FW,Senegal,26,1996,4,4,1,0,0,318.0,80.0,88.3,3.5,80.0,1.5,5.0,5.0,0.0,0.0,3.8,3.0,0.8,0.22,4.29,-0.3,
Brandon Aguilera,MF,Costa Rica,19,2003,3,1,0,2,0,90.0,30.0,33.3,1.0,45.0,1.0,1.0,4.0,-3.0,-3.0,0.3,2.5,-2.2,-2.21,-0.5,1.04,23.0
Breel Embolo,FW,Switzerland,25,1997,4,4,0,0,0,323.0,81.0,89.7,3.6,81.0,1.5,5.0,7.0,-2.0,-0.56,5.4,4.8,0.6,0.16,4.31,0.79,
Brenden Aaronson,MF,United States,22,2000,4,0,0,4,0,108.0,27.0,30.0,1.2,,1.25,1.0,2.0,-1.0,-0.83,0.9,2.7,-1.8,-1.51,-0.83,-2.05,27.0
Brennan Johnson,FW,Wales,21,2001,3,0,0,3,0,91.0,30.0,33.7,1.0,,0.33,1.0,5.0,-4.0,-3.96,1.4,2.3,-0.9,-0.89,-3.45,-0.4,30.0
